GR_VR,gr_vr_translated,age_at_sale,mileage,SALES_RES,registration_date,sales_date
209,SKODA|SKODA FABIA DIESEL|DIESEL,56.20,105236,28.7%,01May2013,09Jan2018
209,SKODA|SKODA FABIA DIESEL|DIESEL,65.15,149847,24.3%,01Aug2012,09Jan2018
209,SKODA|SKODA FABIA DIESEL|DIESEL,64.23,161421,25.5%,01Aug2012,12Dec2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,63.54,211960,28.0%,01Nov2012,21Feb2018
209,SKODA|SKODA FABIA DIESEL|DIESEL,42.36,37771,41.1%,01Jun2014,14Dec2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,64.49,175793,23.2%,01Aug2012,20Dec2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,44.82,122340,35.5%,01Apr2014,28Dec2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,67.34,153483,22.9%,01Jun2012,15Jan2018
209,SKODA|SKODA FABIA DIESEL|DIESEL,60.00,183022,27.8%,01Jan2013,05Jan2018
209,SKODA|SKODA FABIA DIESEL|DIESEL,42.26,40615,39.3%,01Jun2014,11Dec2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,61.80,171857,25.9%,01Sep2012,30Oct2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,61.90,170922,25.0%,01Sep2012,02Nov2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,63.61,124555,32.1%,01Dec2013,25Mar2019
209,SKODA|SKODA FABIA DIESEL|DIESEL,64.23,168431,26.7%,01Aug2012,12Dec2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,66.30,123620,25.4%,01Jun2012,14Dec2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,42.10,120101,35.3%,01Apr2014,06Oct2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,51.08,137137,39.6%,01Jul2013,06Oct2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,55.08,118169,35.9%,01Mar2013,06Oct2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,56.16,84008,36.5%,01Mar2013,08Nov2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,66.07,195562,25.1%,01Jun2012,07Dec2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,49.31,168960,32.9%,03Jul2014,15Aug2018
209,SKODA|SKODA FABIA DIESEL|DIESEL,40.82,88470,44.6%,01Jun2014,28Oct2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,61.02,105765,31.8%,01Sep2012,06Oct2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,64.13,199870,23.9%,01Sep2012,09Jan2018
209,SKODA|SKODA FABIA DIESEL|DIESEL,63.74,210936,24.3%,01Sep2012,28Dec2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,49.15,59629,42.8%,03Jul2014,10Aug2018
209,SKODA|SKODA FABIA DIESEL|DIESEL,37.08,45996,44.8%,01Sep2014,06Oct2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,61.02,99517,38.6%,01Sep2012,06Oct2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,78.03,154320,30.3%,01Apr2011,06Oct2017
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,52.23,131276,27.5%,01Mar2015,11Jul2019
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,62.69,116626,31.0%,01Apr2012,26Jun2017
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,52.23,155987,24.6%,01Mar2015,11Jul2019
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,52.46,144904,24.5%,01Mar2015,18Jul2019
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,52.23,176534,22.6%,01Mar2015,11Jul2019
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,51.31,96610,30.6%,01Mar2015,13Jun2019
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,41.67,94394,36.1%,30May2014,21Nov2017
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,51.51,86047,29.1%,01Mar2015,19Jun2019
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,39.41,33176,39.4%,24Apr2015,08Aug2018
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,52.20,102235,27.8%,01Mar2015,10Jul2019
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,51.02,120790,29.0%,01Mar2015,04Jun2019
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,51.02,121806,27.9%,01Mar2015,04Jun2019
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,50.66,92547,,01Mar2015,24May2019
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,52.03,173003,27.6%,01Dec2013,06Apr2018
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,52.23,136037,26.5%,01Mar2015,11Jul2019
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,50.49,190533,21.6%,01Apr2015,19Jun2019
212,SKODA|SKODA ROOMSTER DIESEL|DIESEL,64.79,56723,31.4%,01Apr2013,29Aug2018
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,77.51,179695,23.6%,01Jul2011,20Dec2017
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,32.26,172077,29.8%,01May2015,09Jan2018
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,52.92,233264,24.0%,01Nov2013,03Apr2018
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,52.07,124315,36.5%,01Mar2013,06Jul2017
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,75.54,139869,26.4%,01Sep2011,22Dec2017
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,31.93,112448,40.2%,01Apr2015,30Nov2017
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,76.03,116716,30.1%,01Nov2010,08Mar2017
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,50.89,180975,27.5%,21May2014,20Aug2018
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,46.36,100249,41.3%,01Jan2014,15Nov2017
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,44.23,168952,30.0%,01May2014,09Jan2018
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,56.59,169999,30.4%,01May2014,21Jan2019
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,55.54,203240,32.8%,01Nov2013,22Jun2018
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,61.31,111782,33.5%,01May2012,14Jun2017
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,55.87,228104,26.3%,01Dec2013,01Aug2018
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,59.70,178485,20.7%,01Jan2014,27Dec2018
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,58.39,163344,28.9%,01May2012,17Mar2017
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,53.15,166701,34.4%,01Jan2015,10Jun2019
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,52.49,211621,22.4%,30Jan2015,19Jun2019
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,50.30,74297,42.7%,01Apr2014,13Jun2018
215,SKODA|SKODA SUPERB DIESEL   |DIESEL,62.62,140184,29.7%,01Dec2011,22Feb2017
218,SKODA|SKODA YETI DIESEL|DIESEL,73.48,60892,38.9%,01Sep2011,20Oct2017
218,SKODA|SKODA YETI DIESEL|DIESEL,49.77,75529,39.0%,18Apr2013,14Jun2017
218,SKODA|SKODA YETI DIESEL|DIESEL,68.30,109535,32.8%,01Sep2012,16May2018
218,SKODA|SKODA YETI DIESEL|DIESEL,61.87,152280,27.6%,01Dec2011,30Jan2017
218,SKODA|SKODA YETI DIESEL|DIESEL,54.52,228627,24.2%,01Jun2013,20Dec2017
218,SKODA|SKODA YETI DIESEL|DIESEL,48.00,51000,42.6%,01Dec2013,04Dec2017
218,SKODA|SKODA YETI DIESEL|DIESEL,71.51,159076,29.1%,01Apr2013,22Mar2019
218,SKODA|SKODA YETI DIESEL|DIESEL,48.33,175192,29.9%,01Jun2013,14Jun2017
219,SKODA|SKODA CITIGO GASOLINA|PETROL,37.21,35924,57.7%,01Aug2014,09Sep2017
219,SKODA|SKODA CITIGO GASOLINA|PETROL,16.75,13929,62.0%,01Apr2016,25Aug2017
219,SKODA|SKODA CITIGO GASOLINA|PETROL,18.69,3716,53.0%,01Jul2016,22Jan2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,17.11,7920,53.5%,01Sep2016,05Feb2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,17.67,4974,64.2%,28Aug2018,18Feb2020
219,SKODA|SKODA CITIGO GASOLINA|PETROL,12.10,8632,62.2%,19Jun2019,22Jun2020
219,SKODA|SKODA CITIGO GASOLINA|PETROL,13.61,8035,59.7%,01Aug2018,20Sep2019
219,SKODA|SKODA CITIGO GASOLINA|PETROL,22.49,14534,62.5%,01Jul2015,17May2017
219,SKODA|SKODA CITIGO GASOLINA|PETROL,50.13,72355,37.9%,01Aug2014,08Oct2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,14.13,16945,55.7%,01Apr2018,06Jun2019
219,SKODA|SKODA CITIGO GASOLINA|PETROL,18.16,7959,41.2%,01Nov2016,09May2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,15.77,5814,55.1%,01Apr2018,26Jul2019
219,SKODA|SKODA CITIGO GASOLINA|PETROL,14.30,15897,53.3%,01Mar2017,11May2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,28.03,25000,49.9%,31Jan2018,04Jun2020
219,SKODA|SKODA CITIGO GASOLINA|PETROL,18.46,9108,41.1%,01Sep2015,17Mar2017
219,SKODA|SKODA CITIGO GASOLINA|PETROL,12.82,4240,63.4%,01Sep2017,27Sep2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,15.67,11646,51.8%,01Oct2016,22Jan2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,16.13,12430,54.7%,01Apr2018,06Aug2019
219,SKODA|SKODA CITIGO GASOLINA|PETROL,15.05,6719,57.1%,01Dec2017,05Mar2019
219,SKODA|SKODA CITIGO GASOLINA|PETROL,52.52,50874,40.4%,01Mar2013,20Jul2017
219,SKODA|SKODA CITIGO GASOLINA|PETROL,13.74,13019,60.3%,01Jul2017,24Aug2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,15.64,9595,52.5%,01Oct2017,21Jan2019
219,SKODA|SKODA CITIGO GASOLINA|PETROL,15.11,8316,58.9%,22Feb2019,28May2020
219,SKODA|SKODA CITIGO GASOLINA|PETROL,14.92,5870,56.8%,01May2018,30Jul2019
219,SKODA|SKODA CITIGO GASOLINA|PETROL,15.25,14559,60.4%,01Jan2018,11Apr2019
219,SKODA|SKODA CITIGO GASOLINA|PETROL,12.92,3846,59.5%,01Oct2017,30Oct2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,18.72,10798,48.9%,01Dec2016,25Jun2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,20.49,12370,51.5%,01Apr2018,17Dec2019
219,SKODA|SKODA CITIGO GASOLINA|PETROL,15.70,9050,57.0%,01Apr2016,24Jul2017
219,SKODA|SKODA CITIGO GASOLINA|PETROL,11.28,4987,59.6%,26Sep2019,04Sep2020
219,SKODA|SKODA CITIGO GASOLINA|PETROL,23.21,12880,42.6%,01Feb2016,09Jan2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,49.57,43902,43.1%,01Aug2014,21Sep2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,13.28,7668,53.2%,01Jul2016,10Aug2017
219,SKODA|SKODA CITIGO GASOLINA|PETROL,13.21,14127,59.0%,01Mar2016,08Apr2017
219,SKODA|SKODA CITIGO GASOLINA|PETROL,16.00,16104,51.2%,01Dec2016,03Apr2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,19.54,15655,48.6%,01Jan2017,20Aug2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,19.31,7271,58.1%,01Jul2018,10Feb2020
219,SKODA|SKODA CITIGO GASOLINA|PETROL,50.20,91097,36.2%,01Aug2014,10Oct2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,14.72,6892,49.3%,01Dec2016,23Feb2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,15.74,8842,60.5%,01Jul2018,24Oct2019
219,SKODA|SKODA CITIGO GASOLINA|PETROL,16.36,5951,67.3%,01May2017,12Sep2018
219,SKODA|SKODA CITIGO GASOLINA|PETROL,14.07,14732,57.0%,01Aug2018,04Oct2019
219,SKODA|SKODA CITIGO GASOLINA|PETROL,18.30,8539,58.1%,01Jul2015,09Jan2017
219,SKODA|SKODA CITIGO GASOLINA|PETROL,15.80,17754,58.2%,01Feb2018,29May2019
219,SKODA|SKODA CITIGO GASOLINA|PETROL,17.08,14411,65.4%,22Feb2019,27Jul2020
219,SKODA|SKODA CITIGO GASOLINA|PETROL,16.10,11128,49.8%,01Feb2017,07Jun2018
220,SKODA|SKODA OCTAVIA COMBI DIESEL|DIESEL,51.54,140823,37.4%,01Jun2013,20Sep2017
220,SKODA|SKODA OCTAVIA COMBI DIESEL|DIESEL,59.11,232070,22.4%,01Feb2013,09Jan2018
220,SKODA|SKODA OCTAVIA COMBI DIESEL|DIESEL,58.00,186763,29.0%,01Sep2012,06Jul2017
220,SKODA|SKODA OCTAVIA COMBI DIESEL|DIESEL,53.77,135969,34.8%,01Dec2012,29May2017
220,SKODA|SKODA OCTAVIA COMBI DIESEL|DIESEL,54.07,166071,30.5%,01Sep2012,08Mar2017
220,SKODA|SKODA OCTAVIA COMBI DIESEL|DIESEL,49.61,142204,35.7%,02Jul2013,23Aug2017
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,45.51,52031,44.7%,11Apr2013,28Jan2017
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,52.98,132604,38.6%,01Feb2013,06Jul2017
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,55.54,171970,26.7%,01May2013,20Dec2017
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,50.95,136247,34.7%,01May2015,02Aug2019
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,56.89,216649,16.4%,01Jan2014,02Oct2018
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,48.62,89471,43.1%,01Feb2013,23Feb2017
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,46.03,70848,35.1%,01Sep2013,06Jul2017
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,60.66,151411,26.9%,01Nov2014,25Nov2019
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,16.69,39573,57.6%,02Dec2015,24Apr2017
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,59.21,182038,29.3%,01Jan2013,12Dec2017
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,48.92,189449,24.3%,01Feb2015,04Mar2019
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,71.31,168651,26.1%,01Feb2012,15Jan2018
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,63.02,82335,33.9%,21Mar2014,25Jun2019
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,36.66,99926,44.4%,01Oct2014,23Oct2017
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,52.43,131648,29.2%,01Mar2015,17Jul2019
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,50.82,118355,37.7%,01Mar2013,29May2017
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,61.57,112942,34.9%,01Feb2014,25Mar2019
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,48.33,163889,30.9%,01Sep2014,14Sep2018
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,63.67,144984,28.8%,23Feb2015,18Jun2020
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,56.33,163918,30.1%,01May2015,13Jan2020
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,51.57,201393,24.0%,01Oct2014,21Jan2019
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,44.36,173178,26.1%,01Apr2014,14Dec2017
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,62.66,144383,25.1%,23Feb2015,18May2020
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,56.59,233410,,01Feb2014,24Oct2018
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,57.11,61908,32.4%,01Mar2013,07Dec2017
221,SKODA|SKODA SUPERB COMBI DIESEL   |DIESEL,52.98,110390,40.3%,01Feb2013,06Jul2017
222,SKODA|SKODA RAPID DIESEL|DIESEL,56.66,231671,22.5%,01Jun2013,23Feb2018
222,SKODA|SKODA RAPID DIESEL|DIESEL,55.38,204928,25.1%,01Jun2013,15Jan2018
222,SKODA|SKODA RAPID DIESEL|DIESEL,49.51,154804,27.9%,01Nov2013,20Dec2017
222,SKODA|SKODA RAPID DIESEL|DIESEL,54.46,48125,32.3%,01Jun2013,18Dec2017
222,SKODA|SKODA RAPID DIESEL|DIESEL,43.84,60625,33.9%,01May2014,28Dec2017
222,SKODA|SKODA RAPID DIESEL|DIESEL,57.34,119132,24.3%,25Apr2014,07Feb2019
222,SKODA|SKODA RAPID DIESEL|DIESEL,48.89,44063,36.5%,29May2014,28Jun2018
222,SKODA|SKODA RAPID DIESEL|DIESEL,54.33,149184,28.6%,01Jun2013,14Dec2017
222,SKODA|SKODA RAPID DIESEL|DIESEL,48.33,127632,28.8%,01Dec2013,14Dec2017
222,SKODA|SKODA RAPID DIESEL|DIESEL,52.69,152578,28.9%,24Jun2013,17Nov2017
222,SKODA|SKODA RAPID DIESEL|DIESEL,49.05,88849,31.2%,01Dec2013,05Jan2018
222,SKODA|SKODA RAPID DIESEL|DIESEL,50.75,151945,26.6%,01May2016,27Jul2020
222,SKODA|SKODA RAPID DIESEL|DIESEL,44.00,81222,38.8%,29Jan2015,02Oct2018
222,SKODA|SKODA RAPID DIESEL|DIESEL,36.95,137803,35.8%,01Aug2015,01Sep2018
222,SKODA|SKODA RAPID DIESEL|DIESEL,64.52,123179,25.1%,01Jul2013,20Nov2018
222,SKODA|SKODA RAPID DIESEL|DIESEL,36.95,115942,37.0%,01Aug2015,01Sep2018
222,SKODA|SKODA RAPID DIESEL|DIESEL,54.46,103441,31.5%,01Jun2013,18Dec2017
222,SKODA|SKODA RAPID DIESEL|DIESEL,41.08,87314,36.5%,01Jul2014,05Dec2017
222,SKODA|SKODA RAPID DIESEL|DIESEL,62.69,177740,26.7%,01Sep2014,26Nov2019
222,SKODA|SKODA RAPID DIESEL|DIESEL,53.87,106307,34.7%,01Jun2013,30Nov2017
222,SKODA|SKODA RAPID DIESEL|DIESEL,53.08,94475,36.2%,01Jun2013,06Nov2017
222,SKODA|SKODA RAPID DIESEL|DIESEL,54.33,144903,28.8%,01Jun2013,14Dec2017
222,SKODA|SKODA RAPID DIESEL|DIESEL,43.05,84093,37.4%,01Jun2014,04Jan2018
222,SKODA|SKODA RAPID DIESEL|DIESEL,52.03,178729,28.9%,26Jun2013,30Oct2017
222,SKODA|SKODA RAPID DIESEL|DIESEL,56.56,128440,33.3%,01Jul2013,22Mar2018
222,SKODA|SKODA RAPID DIESEL|DIESEL,57.21,121731,27.5%,01Jun2013,12Mar2018
226,SKODA|SKODA OCTAVIA COMBI 1.6 TDI 105CV AMBITION GERMANY|DIESEL,62.00,178581,25.8%,01Nov2012,05Jan2018
226,SKODA|SKODA OCTAVIA COMBI 1.6 TDI 105CV AMBITION GERMANY|DIESEL,51.08,158652,29.9%,01Nov2013,06Feb2018
226,SKODA|SKODA OCTAVIA COMBI 1.6 TDI 105CV AMBITION GERMANY|DIESEL,61.70,119599,34.6%,01Nov2013,27Dec2018
234,SKODA|SKODA NUEVO OCTAVIA GASOLINA   |PETROL,50.92,84515,30.2%,01Jun2014,01Sep2018
234,SKODA|SKODA NUEVO OCTAVIA GASOLINA   |PETROL,38.98,63685,52.1%,01Nov2016,03Feb2020
234,SKODA|SKODA NUEVO OCTAVIA GASOLINA   |PETROL,32.16,96851,51.8%,21Sep2015,29May2018
234,SKODA|SKODA NUEVO OCTAVIA GASOLINA   |PETROL,33.93,68412,41.1%,01Oct2016,02Aug2019
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,38.03,196825,30.5%,01Dec2016,04Feb2020
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,38.52,118887,41.3%,01Jan2014,21Mar2017
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,48.59,236890,25.3%,02Oct2015,23Oct2019
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,17.54,35248,67.5%,01Jan2016,19Jun2017
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,42.69,176146,28.9%,05Dec2016,29Jun2020
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,51.28,155383,30.9%,03May2016,14Aug2020
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,37.38,115758,46.1%,01Sep2014,15Oct2017
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,43.11,190140,27.5%,27Apr2016,03Dec2019
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,36.92,104331,47.6%,24Jan2017,24Feb2020
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,38.07,160699,37.7%,01Jul2016,05Sep2019
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,35.87,189073,37.9%,01Jul2014,29Jun2017
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,37.80,214221,29.2%,01Dec2016,28Jan2020
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,55.41,194187,27.5%,01Mar2014,16Oct2018
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,23.57,69812,46.1%,01Apr2016,21Mar2018
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,63.15,204661,22.6%,01Jun2015,08Sep2020
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,36.00,126777,41.1%,01Jul2014,03Jul2017
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,51.25,120026,32.0%,01May2016,11Aug2020
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,52.30,153753,32.5%,01Feb2014,15Jun2018
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,37.11,149131,40.3%,01Jun2014,07Jul2017
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,27.28,81684,44.4%,01May2015,10Aug2017
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,48.69,152934,31.1%,28Jun2016,22Jul2020
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,37.05,122390,45.1%,01Apr2016,06May2019
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,36.79,95882,47.9%,01Sep2015,27Sep2018
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,48.98,206562,26.8%,01Nov2015,04Dec2019
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,38.13,79497,42.5%,01Jan2015,09Mar2018
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,51.97,139806,32.7%,07Mar2014,09Jul2018
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,46.30,99240,34.6%,25Aug2016,07Jul2020
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,49.57,167534,29.4%,01Jan2015,21Feb2019
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,45.70,204063,25.2%,01Nov2015,26Aug2019
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,39.84,123366,44.2%,01Mar2014,28Jun2017
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,25.67,109763,42.0%,01Jan2015,22Feb2017
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,53.51,155739,32.9%,21Jan2016,10Jul2020
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,38.72,138484,37.1%,01Nov2013,25Jan2017
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,38.95,104963,43.2%,01Nov2014,01Feb2018
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,39.93,146716,33.4%,27Mar2017,27Jul2020
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,36.89,220351,29.0%,01Jan2017,31Jan2020
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,44.95,220251,23.8%,01Nov2016,03Aug2020
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,38.10,124965,40.0%,01May2014,06Jul2017
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,60.52,166539,32.2%,01Jan2014,21Jan2019
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,38.00,109422,43.2%,01Feb2015,05Apr2018
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,52.62,77329,42.5%,01Jun2015,23Oct2019
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,40.52,194593,30.6%,01Nov2014,21Mar2018
235,SKODA|SKODA NUEVO OCTAVIA DIESEL   |DIESEL,41.31,177093,29.2%,30Jan2017,13Jul2020
